itemId,jenisSertifikat,noSertifikat,instansi,terbit,expired,status
95f72d1c-c37c-4a7c-9399-ee3dec98a18c,SLF,CERT/2021/9025,DLH,2021-01-28,2022-01-28,Aktif
c0b4303d-d71a-4dc7-9414-f5f884e1e96f,SLF,CERT/2024/1940,DLH,2024-07-31,2025-07-31,Aktif
8f23b185-4523-4fc9-ac27-3f8c0ada7c9c,HGB,CERT/2021/6962,DLH,2021-11-26,2022-11-26,Expired
c99124c2-3105-450e-8bb4-483cbdac0901,HGB,CERT/2024/2405,Dinas PUPR,2024-05-02,2025-05-02,Expired
ca23ecbc-202c-4286-aae8-b59cd0fd6626,Fire Alarm,CERT/2023/6540,DLH,2023-07-15,2024-07-14,Aktif
9ed06641-a977-49f0-98ce-ce1a0238d562,SLF,CERT/2024/8148,Dinas PUPR,2024-01-16,2025-01-15,Expired
f9ab4825-a5ee-452c-90f5-4383319473b7,AMDAL,CERT/2024/4118,Disnaker,2024-02-28,2025-02-27,Aktif
25428f68-83dc-4199-aaa4-fc0ac29f1f6b,Penyalur Petir,CERT/2023/2508,DLH,2023-12-19,2024-12-18,Aktif
b0ac512c-fd8b-4620-9899-ab40b771b7f2,HGB,CERT/2024/2738,DLH,2024-12-29,2025-12-29,Aktif
35d005e1-90f4-4080-be03-78d95cb49652,Fire Alarm,CERT/2023/7789,Disnaker,2023-08-21,2024-08-20,Aktif
592c38fe-bdd7-420b-b765-008e2c51450c,Fire Alarm,CERT/2024/1383,BPN,2024-06-27,2025-06-27,Expired
6825767d-367b-4128-9bff-5229a98d90c9,Fire Alarm,CERT/2021/5083,Kementerian ESDM,2021-01-23,2022-01-23,Aktif
05e586d9-793b-4d41-8754-c6cd355f6512,AMDAL,CERT/2022/5069,Dinas PUPR,2022-06-03,2023-06-03,Aktif
04d129a8-cd6e-4746-be7b-a09c219ccd8b,AMDAL,CERT/2022/4621,Kementerian ESDM,2022-06-06,2023-06-06,Aktif
350e5f5a-b016-45d9-8cb4-4962a11a3b4e,SLF,CERT/2023/2772,Disnaker,2023-09-29,2024-09-28,Expired
65fa7b6a-d3e3-4b07-8857-ec2631a166be,Penyalur Petir,CERT/2022/4362,Disnaker,2022-01-28,2023-01-28,Aktif
3a518db2-ad9a-41a6-91a8-ba79c36a9d84,Fire Alarm,CERT/2022/4916,Dinas PUPR,2022-04-06,2023-04-06,Aktif
e6e95f03-0a46-4097-9618-2ca5f5d4b1fb,HGB,CERT/2022/5350,DLH,2022-12-02,2023-12-02,Expired
5ba59216-6c0b-44b2-abc3-42e60625d697,HGB,CERT/2023/7739,BPN,2023-10-27,2024-10-26,Expired
f3df22ea-e1f3-4a75-93c8-cd110984fdaf,Fire Alarm,CERT/2024/6473,BPN,2024-08-27,2025-08-27,Aktif
16e0afa8-ed42-4766-ba8d-90e41cbce633,SLF,CERT/2022/1050,Disnaker,2022-08-03,2023-08-03,Aktif
a0a25a9a-494f-4280-bf9b-ee3299b6b9ff,HGB,CERT/2021/6108,Disnaker,2021-12-28,2022-12-28,Expired
bc3c11a9-7b6f-4c94-9944-277a160d6295,AMDAL,CERT/2024/1204,Disnaker,2024-05-23,2025-05-23,Aktif
